x,y,label,split,projection_method
-36.479397,8.312235,0,train,tsne_2d
-5.5066257,-25.965618,1,train,tsne_2d
-0.06658528,35.0972,0,train,tsne_2d
7.739848,-35.106197,1,train,tsne_2d
1.7360046,31.00376,0,train,tsne_2d
-17.619041,-4.5934668,0,train,tsne_2d
-37.56354,-4.8206925,0,train,tsne_2d
3.7845,41.377647,0,train,tsne_2d
-3.4816408,22.835224,0,train,tsne_2d
-0.8473895,-25.296473,1,train,tsne_2d
10.690563,-42.75521,1,train,tsne_2d
-0.24270532,30.043053,0,train,tsne_2d
36.74503,-6.911988,1,train,tsne_2d
-3.1711848,-41.815815,1,train,tsne_2d
-3.6640363,-26.574724,1,train,tsne_2d
1.5611323,39.859207,0,train,tsne_2d
-38.08114,-8.95761,0,train,tsne_2d
42.74596,-3.6045392,1,train,tsne_2d
-25.86645,3.442301,0,train,tsne_2d
32.97828,-6.0382133,1,train,tsne_2d
41.98048,11.395941,1,train,tsne_2d
-3.346977,43.415325,0,train,tsne_2d
7.1061606,29.894339,0,train,tsne_2d
-11.73336,-28.024242,1,train,tsne_2d
-33.435513,-10.269155,0,train,tsne_2d
-7.869019,-26.76373,1,train,tsne_2d
4.5869865,-35.394627,1,train,tsne_2d
-25.265747,4.0179687,0,train,tsne_2d
-3.7905717,28.441624,0,train,tsne_2d
37.2679,-6.53571,1,train,tsne_2d
23.353865,-3.3860967,1,train,tsne_2d
-36.14242,3.1641757,0,train,tsne_2d
-12.621995,32.9873,0,train,tsne_2d
-8.515443,28.247482,0,train,tsne_2d
47.39854,0.37014142,1,train,tsne_2d
34.17541,-0.13853258,1,train,tsne_2d
-12.88734,-28.814152,1,train,tsne_2d
-8.000981,46.295444,0,train,tsne_2d
27.589756,2.9693995,1,train,tsne_2d
-7.239713,33.560646,0,train,tsne_2d
30.599682,12.713964,1,train,tsne_2d
-11.69263,-37.56844,1,train,tsne_2d
34.265842,15.086729,1,train,tsne_2d
-36.43693,7.570315,0,train,tsne_2d
11.276103,29.954723,0,train,tsne_2d
-21.484888,2.5877407,0,train,tsne_2d
28.213848,12.292058,1,train,tsne_2d
42.507324,-2.0218208,1,train,tsne_2d
28.571611,-5.3203545,1,train,tsne_2d
-22.555128,5.5120955,0,train,tsne_2d
0.6215652,-37.57469,1,train,tsne_2d
-6.0062833,36.284664,0,train,tsne_2d
3.5592456,36.64869,0,train,tsne_2d
6.7005963,-29.126091,1,train,tsne_2d
31.799688,7.0053945,1,train,tsne_2d
47.030975,-1.5011312,1,train,tsne_2d
-9.680857,-36.109436,1,train,tsne_2d
2.4250236,30.799526,0,train,tsne_2d
38.16597,-5.5259547,1,train,tsne_2d
3.9670568,39.0107,0,train,tsne_2d
40.078934,-2.9261441,1,train,tsne_2d
4.1927543,-41.693844,1,train,tsne_2d
49.456406,7.0623145,1,train,tsne_2d
1.9229954,32.074093,0,train,tsne_2d
-5.0418367,41.27297,0,train,tsne_2d
28.321089,14.502138,0,train,tsne_2d
4.7099686,36.49154,0,train,tsne_2d
38.391994,0.63912445,1,train,tsne_2d
-7.0779696,-29.502459,1,train,tsne_2d
0.9794791,25.140846,0,train,tsne_2d
32.96987,-9.583278,1,train,tsne_2d
44.384026,13.715597,1,train,tsne_2d
30.95567,1.6343205,1,train,tsne_2d
11.401317,-28.44755,1,train,tsne_2d
0.81998694,-44.78436,1,train,tsne_2d
-38.502766,-1.3736976,0,train,tsne_2d
-4.9584746,22.572575,0,train,tsne_2d
-21.957571,4.2065597,0,train,tsne_2d
13.545652,-39.65731,1,train,tsne_2d
-9.892948,-40.878197,1,train,tsne_2d
2.4643526,-26.944122,1,train,tsne_2d
-32.470745,3.6624582,0,train,tsne_2d
-9.69871,35.045685,0,train,tsne_2d
-40.126293,-0.5694538,0,train,tsne_2d
-34.029606,-1.4380826,0,train,tsne_2d
-32.324497,-12.300985,0,train,tsne_2d
41.79578,-6.692687,1,train,tsne_2d
-7.230379,31.159023,0,train,tsne_2d
-4.2099185,22.98255,0,train,tsne_2d
1.8787831,39.040142,0,train,tsne_2d
-41.947945,-3.9884074,0,train,tsne_2d
