x,y,label,split,projection_method
-5.2215,-34.422592,1,train,tsne_2d
11.45545,0.37363183,0,train,tsne_2d
-23.856642,9.646906,0,train,tsne_2d
20.752455,31.491318,0,train,tsne_2d
14.984476,40.6278,0,train,tsne_2d
-36.427193,-1.6959181,1,train,tsne_2d
-44.09031,-3.942739,0,train,tsne_2d
-35.845192,-25.030134,1,train,tsne_2d
-42.749187,-13.214433,0,train,tsne_2d
-52.00967,8.987838,0,train,tsne_2d
19.187475,-24.417606,1,train,tsne_2d
-30.290865,16.793917,0,train,tsne_2d
-8.159601,-30.044785,1,train,tsne_2d
29.345467,-8.253443,0,train,tsne_2d
6.7639203,18.814594,0,train,tsne_2d
-8.589405,21.895973,0,train,tsne_2d
-27.761763,13.985765,0,train,tsne_2d
18.922516,-31.666021,1,train,tsne_2d
29.540146,20.988638,0,train,tsne_2d
31.032703,30.297443,0,train,tsne_2d
29.772587,7.048363,1,train,tsne_2d
-32.324383,-31.555689,1,train,tsne_2d
29.834543,-10.604379,1,train,tsne_2d
0.11085854,-26.107542,1,train,tsne_2d
-5.619317,13.664745,0,train,tsne_2d
7.8557343,-3.561511,1,train,tsne_2d
23.576723,-9.300752,0,train,tsne_2d
-5.2661533,-18.505495,0,train,tsne_2d
-25.367676,-10.277444,0,train,tsne_2d
-11.47726,26.328487,1,train,tsne_2d
-50.49962,0.22077113,0,train,tsne_2d
8.423173,11.430216,0,train,tsne_2d
-30.995712,-33.030537,1,train,tsne_2d
-12.1774645,19.324627,0,train,tsne_2d
50.128094,-3.0355442,1,train,tsne_2d
16.229788,3.7140234,1,train,tsne_2d
42.235943,-1.7054065,0,train,tsne_2d
28.472641,36.793777,0,train,tsne_2d
2.2191792,10.9199,0,train,tsne_2d
-50.89196,-7.5045314,0,train,tsne_2d
-41.71672,-5.302235,1,train,tsne_2d
39.941406,-6.063728,1,train,tsne_2d
8.466382,35.238758,0,train,tsne_2d
31.062168,24.659628,0,train,tsne_2d
33.593586,22.218824,1,train,tsne_2d
-6.3484054,22.938019,1,train,tsne_2d
38.700333,3.5992503,1,train,tsne_2d
-28.420736,-0.055244762,1,train,tsne_2d
-50.096344,8.677813,0,train,tsne_2d
14.9003105,10.166891,0,train,tsne_2d
26.838148,-21.780897,1,train,tsne_2d
-9.723259,-29.419683,1,train,tsne_2d
-37.125134,-4.751437,0,train,tsne_2d
18.03555,1.8252202,0,train,tsne_2d
-5.4249873,-1.6390973,1,train,tsne_2d
-15.05475,8.876656,1,train,tsne_2d
25.761627,-16.816048,1,train,tsne_2d
-4.663763,7.7858076,1,train,tsne_2d
13.243785,-23.066273,1,train,tsne_2d
-31.152206,-1.361429,0,train,tsne_2d
-47.73213,-1.0722003,0,train,tsne_2d
6.4752655,1.5282307,0,train,tsne_2d
22.184414,24.80244,1,train,tsne_2d
-18.212643,-30.683596,0,train,tsne_2d
46.753147,2.4335146,1,train,tsne_2d
48.93583,-1.5603535,1,train,tsne_2d
-0.65281713,27.739296,0,train,tsne_2d
-42.964394,8.001867,0,train,tsne_2d
-4.3174176,14.592538,0,train,tsne_2d
-43.04151,-13.927521,0,train,tsne_2d
-28.213295,1.6984603,1,train,tsne_2d
15.414613,-33.33812,1,train,tsne_2d
13.580842,13.056843,1,train,tsne_2d
-21.878017,-20.314325,1,train,tsne_2d
45.37993,5.098852,1,train,tsne_2d
20.803762,5.0260243,0,train,tsne_2d
51.338074,3.6985605,1,train,tsne_2d
11.669017,8.517351,0,train,tsne_2d
11.717198,19.435347,0,train,tsne_2d
21.398746,34.917564,0,train,tsne_2d
21.62202,-21.91727,0,train,tsne_2d
11.356626,-10.21795,0,train,tsne_2d
5.861736,-20.391659,0,train,tsne_2d
4.6525383,-3.504494,1,train,tsne_2d
19.536718,-25.701052,1,train,tsne_2d
-6.320878,16.656593,1,train,tsne_2d
20.794252,11.030646,0,train,tsne_2d
21.12422,-0.4360108,1,train,tsne_2d
2.3215513,-3.698655,1,train,tsne_2d
-22.53863,-11.501107,1,train,tsne_2d
-14.038535,-20.377045,1,train,tsne_2d
4.614658,35.329212,0,train,tsne_2d
-28.639463,-27.896957,1,train,tsne_2d
-41.145054,-0.5175113,0,train,tsne_2d
31.334322,18.60249,1,train,tsne_2d
23.100998,31.189283,1,train,tsne_2d
17.236273,1.571245,0,train,tsne_2d
-21.34466,-35.94292,1,train,tsne_2d
3.7720098,20.22671,0,train,tsne_2d
15.879269,33.959846,0,train,tsne_2d
13.871767,1.5313845,1,train,tsne_2d
7.5155826,27.829473,0,train,tsne_2d
28.02408,-20.423697,1,train,tsne_2d
16.95064,24.02307,1,train,tsne_2d
18.030981,-6.343882,1,train,tsne_2d
3.0494556,-22.41407,1,train,tsne_2d
-5.9574018,-23.880413,1,train,tsne_2d
32.083042,-29.065422,1,train,tsne_2d
-10.288213,-22.182533,0,train,tsne_2d
-6.672435,-25.004461,1,train,tsne_2d
-41.318752,-15.537572,0,train,tsne_2d
24.389801,-23.975817,1,train,tsne_2d
32.055023,12.446663,0,train,tsne_2d
31.93926,-16.809612,0,train,tsne_2d
20.0428,-22.563704,1,train,tsne_2d
-11.832939,-16.8352,1,train,tsne_2d
-17.132372,-7.851864,1,train,tsne_2d
