x,y,label,split,projection_method
7.818441,33.775284,0,train,tsne_2d
9.885224,-7.200637,0,train,tsne_2d
-23.192547,5.653577,0,train,tsne_2d
29.62304,-12.722457,0,train,tsne_2d
50.573135,5.3949594,0,train,tsne_2d
6.0833716,14.454456,0,train,tsne_2d
8.56097,-18.9363,0,train,tsne_2d
-10.920649,-30.112637,0,train,tsne_2d
27.84407,-3.039254,0,train,tsne_2d
25.034946,2.6460268,0,train,tsne_2d
-19.090725,-19.129875,0,train,tsne_2d
43.196373,18.9519,0,train,tsne_2d
-32.66139,-16.982687,1,train,tsne_2d
41.36727,-12.53954,0,train,tsne_2d
27.641459,12.361895,0,train,tsne_2d
-43.0284,-21.513012,0,train,tsne_2d
19.899553,-8.598902,0,train,tsne_2d
-7.4251046,-31.332747,0,train,tsne_2d
6.810291,39.63765,0,train,tsne_2d
45.58146,28.072304,0,train,tsne_2d
7.120224,12.9977665,0,train,tsne_2d
20.506735,3.2102728,0,train,tsne_2d
-37.018055,-31.771605,0,train,tsne_2d
0.27565837,18.091423,1,train,tsne_2d
-28.612534,-16.754292,0,train,tsne_2d
5.7135158,38.770264,1,train,tsne_2d
31.491606,4.451982,0,train,tsne_2d
34.7414,4.6102133,0,train,tsne_2d
2.8532193,0.5023553,0,train,tsne_2d
-31.382145,12.777382,0,train,tsne_2d
-36.122177,-17.77901,0,train,tsne_2d
-26.195454,-9.462101,1,train,tsne_2d
-21.539574,-5.179434,0,train,tsne_2d
51.83735,14.038364,0,train,tsne_2d
-11.859931,-33.081066,0,train,tsne_2d
-7.366977,24.410162,0,train,tsne_2d
-27.66696,-24.875574,0,train,tsne_2d
5.956171,28.538746,0,train,tsne_2d
42.676846,0.39518347,0,train,tsne_2d
-40.735382,-27.698954,0,train,tsne_2d
-3.4907887,-31.444431,0,train,tsne_2d
-24.563368,-24.914423,0,train,tsne_2d
-34.310158,-8.289479,0,train,tsne_2d
-0.8612675,22.138811,0,train,tsne_2d
-23.260406,4.605135,0,train,tsne_2d
-13.733054,-6.020021,0,train,tsne_2d
3.225607,28.83259,1,train,tsne_2d
1.1181557,5.5808115,0,train,tsne_2d
-5.4233537,-26.508984,0,train,tsne_2d
16.103977,16.670498,0,train,tsne_2d
33.47047,-8.534749,0,train,tsne_2d
-49.042473,-31.169634,0,train,tsne_2d
-4.2959375,-33.100933,0,train,tsne_2d
49.54115,9.815046,0,train,tsne_2d
55.4622,-1.5108691,0,train,tsne_2d
-21.37948,-33.756046,0,train,tsne_2d
-44.54626,4.5135226,0,train,tsne_2d
55.069073,8.385595,0,train,tsne_2d
0.5093547,40.7515,1,train,tsne_2d
-41.866814,-7.008479,0,train,tsne_2d
-22.16644,-27.110924,0,train,tsne_2d
1.1263769,41.67585,1,train,tsne_2d
-28.341667,15.281509,0,train,tsne_2d
-12.639378,-33.58783,0,train,tsne_2d
9.698474,39.648804,1,train,tsne_2d
-16.246914,-5.8083634,0,train,tsne_2d
-42.48223,-9.792152,0,train,tsne_2d
23.58387,15.664392,0,train,tsne_2d
-54.306446,-24.86982,0,train,tsne_2d
-37.705822,-5.0606604,0,train,tsne_2d
-4.9916706,29.436258,0,train,tsne_2d
-14.244433,21.855925,0,train,tsne_2d
18.50976,31.031736,1,train,tsne_2d
-44.94239,-1.2001556,0,train,tsne_2d
33.670803,-9.312349,0,train,tsne_2d
-32.068573,-32.097073,0,train,tsne_2d
-37.069286,9.022058,0,train,tsne_2d
-0.19692451,35.940228,1,train,tsne_2d
43.42577,-3.1346252,0,train,tsne_2d
-46.645237,4.930366,0,train,tsne_2d
8.54787,2.737901,0,train,tsne_2d
