threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.39,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.385,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.38,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.375,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.37,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.365,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.36,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.355,0.9973821989528796,0.9896103896103896,0.9974025974025974,0.9934810951760106,381,1,384,4,9.0,0.011688311688311689
0.33,0.9922077922077922,0.9922077922077922,0.9922077922077922,0.9922077922077922,382,3,382,3,9.0,0.011688311688311689
0.325,0.9922077922077922,0.9922077922077922,0.9922077922077922,0.9922077922077922,382,3,382,3,9.0,0.011688311688311689
0.32,0.9922077922077922,0.9922077922077922,0.9922077922077922,0.9922077922077922,382,3,382,3,9.0,0.011688311688311689
0.35000000000000003,0.9947780678851175,0.9896103896103896,0.9948051948051948,0.9921875,381,2,383,4,10.0,0.012987012987012988
