threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.51,0.9973890339425587,0.9922077922077922,0.9974025974025974,0.9947916666666666,382,1,384,3,7.0,0.00909090909090909
0.505,0.9973890339425587,0.9922077922077922,0.9974025974025974,0.9947916666666666,382,1,384,3,7.0,0.00909090909090909
0.5,0.9973890339425587,0.9922077922077922,0.9974025974025974,0.9947916666666666,382,1,384,3,7.0,0.00909090909090909
0.41500000000000004,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.41000000000000003,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.405,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.4,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.395,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.39,0.9922279792746114,0.9948051948051948,0.9922077922077922,0.9935149156939039,383,3,382,2,7.0,0.00909090909090909
0.495,0.9947916666666666,0.9922077922077922,0.9948051948051948,0.9934980494148244,382,2,383,3,8.0,0.01038961038961039
0.49,0.9947916666666666,0.9922077922077922,0.9948051948051948,0.9934980494148244,382,2,383,3,8.0,0.01038961038961039
0.485,0.9947916666666666,0.9922077922077922,0.9948051948051948,0.9934980494148244,382,2,383,3,8.0,0.01038961038961039
