threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.305,0.7708737864077669,0.8706140350877193,0.7400881057268722,0.8177136972193614,397,118,336,59,236.0,0.25934065934065936
0.3,0.7678916827852998,0.8706140350877193,0.73568281938326,0.816032887975334,397,120,334,59,238.0,0.26153846153846155
0.31,0.771484375,0.8662280701754386,0.7422907488986784,0.8161157024793388,395,117,337,61,239.0,0.26263736263736265
0.33,0.780439121756487,0.8574561403508771,0.7577092511013216,0.8171368861024033,391,110,344,65,240.0,0.26373626373626374
0.325,0.7777777777777778,0.8596491228070176,0.7533039647577092,0.8166666666666668,392,112,342,64,240.0,0.26373626373626374
0.315,0.7725490196078432,0.8640350877192983,0.7444933920704846,0.8157349896480331,394,116,338,62,240.0,0.26373626373626374
0.295,0.7634615384615384,0.8706140350877193,0.7290748898678414,0.8135245901639345,397,123,331,59,241.0,0.26483516483516484
0.32,0.7747035573122529,0.8596491228070176,0.748898678414097,0.814968814968815,392,114,340,64,242.0,0.26593406593406593
0.29,0.761996161228407,0.8706140350877193,0.7268722466960352,0.812691914022518,397,124,330,59,242.0,0.26593406593406593
0.38,0.7950310559006211,0.8421052631578947,0.7819383259911894,0.8178913738019169,384,99,355,72,243.0,0.26703296703296703
0.335,0.7811244979919679,0.8530701754385965,0.7599118942731278,0.8155136268343816,389,109,345,67,243.0,0.26703296703296703
0.28500000000000003,0.7590822179732314,0.8706140350877193,0.7224669603524229,0.8110316649642493,397,126,328,59,244.0,0.2681318681318681
