threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.445,0.8117154811715481,0.8508771929824561,0.801762114537445,0.8308351177730192,388,90,364,68,226.0,0.24835164835164836
0.435,0.8,0.8596491228070176,0.7841409691629956,0.8287526427061311,392,98,356,64,226.0,0.24835164835164836
0.44,0.8012295081967213,0.8574561403508771,0.7863436123348018,0.8283898305084745,391,97,357,65,227.0,0.24945054945054945
0.425,0.7955465587044535,0.8618421052631579,0.7775330396475771,0.8273684210526316,393,101,353,63,227.0,0.24945054945054945
0.41500000000000004,0.79,0.8662280701754386,0.7687224669603524,0.8263598326359832,395,105,349,61,227.0,0.24945054945054945
0.405,0.779296875,0.875,0.751101321585903,0.8243801652892562,399,113,341,57,227.0,0.24945054945054945
0.42,0.7911646586345381,0.8640350877192983,0.7709251101321586,0.8259958071278826,394,104,350,62,228.0,0.25054945054945055
0.4,0.7777777777777778,0.875,0.748898678414097,0.823529411764706,399,114,340,57,228.0,0.25054945054945055
0.39,0.7726396917148363,0.8793859649122807,0.7400881057268722,0.8225641025641026,401,118,336,55,228.0,0.25054945054945055
0.43,0.795131845841785,0.8596491228070176,0.7775330396475771,0.8261327713382508,392,101,353,64,229.0,0.25164835164835164
0.41000000000000003,0.7841584158415842,0.868421052631579,0.7599118942731278,0.8241415192507805,396,109,345,60,229.0,0.25164835164835164
0.455,0.8152866242038217,0.8421052631578947,0.8083700440528634,0.8284789644012945,384,87,367,72,231.0,0.25384615384615383
