threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.08,0.7525773195876289,0.7448979591836735,0.9765166340508806,0.7487179487179487,73,24,998,25,149.0,0.13303571428571428
0.075,0.7525773195876289,0.7448979591836735,0.9765166340508806,0.7487179487179487,73,24,998,25,149.0,0.13303571428571428
0.07,0.7448979591836735,0.7448979591836735,0.9755381604696673,0.7448979591836735,73,25,997,25,150.0,0.13392857142857142
0.065,0.7448979591836735,0.7448979591836735,0.9755381604696673,0.7448979591836735,73,25,997,25,150.0,0.13392857142857142
0.05,0.6981132075471698,0.7551020408163265,0.9686888454011742,0.7254901960784315,74,32,990,24,152.0,0.1357142857142857
0.085,0.7578947368421053,0.7346938775510204,0.9774951076320939,0.7461139896373057,72,23,999,26,153.0,0.13660714285714284
0.06,0.7227722772277227,0.7448979591836735,0.9726027397260274,0.7336683417085428,73,28,994,25,153.0,0.13660714285714284
0.04,0.6637168141592921,0.7653061224489796,0.9628180039138943,0.7109004739336493,75,38,984,23,153.0,0.13660714285714284
0.035,0.6578947368421053,0.7653061224489796,0.961839530332681,0.7075471698113208,75,39,983,23,154.0,0.1375
0.105,0.7802197802197802,0.7244897959183674,0.9804305283757339,0.7513227513227514,71,20,1002,27,155.0,0.13839285714285715
0.055,0.7087378640776699,0.7448979591836735,0.9706457925636007,0.7263681592039802,73,30,992,25,155.0,0.13839285714285715
0.1,0.7717391304347826,0.7244897959183674,0.9794520547945206,0.7473684210526316,71,21,1001,27,156.0,0.1392857142857143
