threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.195,0.5847457627118644,0.7040816326530612,0.952054794520548,0.638888888888889,69,49,973,29,194.0,0.1732142857142857
0.21,0.6017699115044248,0.6938775510204082,0.9559686888454012,0.6445497630331755,68,45,977,30,195.0,0.17410714285714285
0.20500000000000002,0.5964912280701754,0.6938775510204082,0.9549902152641878,0.6415094339622641,68,46,976,30,196.0,0.175
0.19,0.575,0.7040816326530612,0.9500978473581213,0.6330275229357798,69,51,971,29,196.0,0.175
0.17500000000000002,0.5511811023622047,0.7142857142857143,0.9442270058708415,0.6222222222222222,70,57,965,28,197.0,0.17589285714285716
0.2,0.5862068965517241,0.6938775510204082,0.9530332681017613,0.6355140186915887,68,48,974,30,198.0,0.1767857142857143
0.215,0.6036036036036037,0.6836734693877551,0.9569471624266145,0.6411483253588517,67,44,978,31,199.0,0.17767857142857144
0.185,0.5564516129032258,0.7040816326530612,0.9461839530332681,0.6216216216216216,69,55,967,29,200.0,0.17857142857142858
0.18,0.552,0.7040816326530612,0.9452054794520548,0.6188340807174888,69,56,966,29,201.0,0.17946428571428572
0.17,0.5343511450381679,0.7142857142857143,0.9403131115459883,0.6113537117903931,70,61,961,28,201.0,0.17946428571428572
0.22,0.6111111111111112,0.673469387755102,0.958904109589041,0.6407766990291262,66,42,980,32,202.0,0.18035714285714285
0.16,0.5071428571428571,0.7244897959183674,0.9324853228962818,0.5966386554621849,71,69,953,27,204.0,0.18214285714285713
