threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.165,0.48214285714285715,0.826530612244898,0.9148727984344422,0.6090225563909775,81,87,935,17,172.0,0.15357142857142858
0.23500000000000001,0.6033057851239669,0.7448979591836735,0.9530332681017613,0.6666666666666667,73,48,974,25,173.0,0.15446428571428572
0.17,0.4878048780487805,0.8163265306122449,0.9178082191780822,0.6106870229007634,80,84,938,18,174.0,0.15535714285714286
0.23,0.5934959349593496,0.7448979591836735,0.9510763209393346,0.6606334841628959,73,50,972,25,175.0,0.15625
0.16,0.47368421052631576,0.826530612244898,0.9119373776908023,0.6022304832713754,81,90,932,17,175.0,0.15625
0.17500000000000002,0.49375,0.8061224489795918,0.9207436399217221,0.6124031007751938,79,81,941,19,176.0,0.15714285714285714
0.22,0.5434782608695652,0.7653061224489796,0.9383561643835616,0.635593220338983,75,63,959,23,178.0,0.15892857142857142
0.215,0.539568345323741,0.7653061224489796,0.9373776908023483,0.6329113924050633,75,64,958,23,179.0,0.15982142857142856
0.21,0.539568345323741,0.7653061224489796,0.9373776908023483,0.6329113924050633,75,64,958,23,179.0,0.15982142857142856
0.24,0.6120689655172413,0.7244897959183674,0.9559686888454012,0.6635514018691588,71,45,977,27,180.0,0.16071428571428573
0.155,0.4602272727272727,0.826530612244898,0.9070450097847358,0.5912408759124087,81,95,927,17,180.0,0.16071428571428573
0.225,0.5658914728682171,0.7448979591836735,0.9452054794520548,0.643171806167401,73,56,966,25,181.0,0.16160714285714287
