threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.21,0.8550106609808102,0.9547619047619048,0.8380952380952381,0.9021372328458943,401,68,352,19,106.0,0.1261904761904762
0.20500000000000002,0.8550106609808102,0.9547619047619048,0.8380952380952381,0.9021372328458943,401,68,352,19,106.0,0.1261904761904762
0.2,0.8516949152542372,0.9571428571428572,0.8333333333333334,0.9013452914798207,402,70,350,18,106.0,0.1261904761904762
0.195,0.8516949152542372,0.9571428571428572,0.8333333333333334,0.9013452914798207,402,70,350,18,106.0,0.1261904761904762
0.19,0.8516949152542372,0.9571428571428572,0.8333333333333334,0.9013452914798207,402,70,350,18,106.0,0.1261904761904762
0.225,0.8565310492505354,0.9523809523809523,0.8404761904761905,0.9019165727170236,400,67,353,20,107.0,0.12738095238095237
0.22,0.8565310492505354,0.9523809523809523,0.8404761904761905,0.9019165727170236,400,67,353,20,107.0,0.12738095238095237
0.215,0.8565310492505354,0.9523809523809523,0.8404761904761905,0.9019165727170236,400,67,353,20,107.0,0.12738095238095237
0.185,0.8481012658227848,0.9571428571428572,0.8285714285714286,0.8993288590604026,402,72,348,18,108.0,0.12857142857142856
0.18,0.8481012658227848,0.9571428571428572,0.8285714285714286,0.8993288590604026,402,72,348,18,108.0,0.12857142857142856
0.14,0.8353909465020576,0.9666666666666667,0.8095238095238095,0.8962472406181016,406,80,340,14,108.0,0.12857142857142856
0.23,0.8562231759656652,0.95,0.8404761904761905,0.9006772009029343,399,67,353,21,109.0,0.12976190476190477
