threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.24,0.7810650887573964,0.9428571428571428,0.7357142857142858,0.8543689320388349,396,111,309,24,159.0,0.18928571428571428
0.39,0.8293216630196937,0.9023809523809524,0.8142857142857143,0.8643101482326112,379,78,342,41,160.0,0.19047619047619047
0.36,0.8179871520342612,0.9095238095238095,0.7976190476190477,0.8613303269447576,382,85,335,38,161.0,0.19166666666666668
0.225,0.7728155339805826,0.9476190476190476,0.7214285714285714,0.8513368983957218,398,117,303,22,161.0,0.19166666666666668
0.395,0.8289473684210527,0.9,0.8142857142857143,0.8630136986301371,378,78,342,42,162.0,0.19285714285714287
0.385,0.8257080610021786,0.9023809523809524,0.8095238095238095,0.8623435722411832,379,80,340,41,162.0,0.19285714285714287
0.38,0.8257080610021786,0.9023809523809524,0.8095238095238095,0.8623435722411832,379,80,340,41,162.0,0.19285714285714287
0.375,0.8193548387096774,0.9071428571428571,0.8,0.8610169491525423,381,84,336,39,162.0,0.19285714285714287
0.37,0.8193548387096774,0.9071428571428571,0.8,0.8610169491525423,381,84,336,39,162.0,0.19285714285714287
0.365,0.8193548387096774,0.9071428571428571,0.8,0.8610169491525423,381,84,336,39,162.0,0.19285714285714287
0.25,0.7817460317460317,0.9380952380952381,0.7380952380952381,0.8528138528138527,394,110,310,26,162.0,0.19285714285714287
0.23500000000000001,0.7764705882352941,0.9428571428571428,0.7285714285714285,0.8516129032258064,396,114,306,24,162.0,0.19285714285714287
