threshold,precision,recall,specificity,f1,tp,fp,tn,fn,expected_cost,expected_cost_per_example
0.46,0.9118329466357309,0.9357142857142857,0.9095238095238095,0.9236192714453585,393,38,382,27,92.0,0.10952380952380952
0.405,0.8961625282167043,0.9452380952380952,0.8904761904761904,0.9200463499420626,397,46,374,23,92.0,0.10952380952380952
0.47500000000000003,0.9178403755868545,0.930952380952381,0.9166666666666666,0.9243498817966903,391,35,385,29,93.0,0.11071428571428571
0.455,0.9076212471131639,0.9357142857142857,0.9047619047619048,0.921453692848769,393,40,380,27,94.0,0.11190476190476191
0.45,0.9076212471131639,0.9357142857142857,0.9047619047619048,0.921453692848769,393,40,380,27,94.0,0.11190476190476191
0.4,0.8921348314606742,0.9452380952380952,0.8857142857142857,0.9179190751445085,397,48,372,23,94.0,0.11190476190476191
0.395,0.8921348314606742,0.9452380952380952,0.8857142857142857,0.9179190751445085,397,48,372,23,94.0,0.11190476190476191
0.48,0.9176470588235294,0.9285714285714286,0.9166666666666666,0.923076923076923,390,35,385,30,95.0,0.1130952380952381
0.47000000000000003,0.9135514018691588,0.930952380952381,0.9119047619047619,0.9221698113207547,391,37,383,29,95.0,0.1130952380952381
0.39,0.8901345291479821,0.9452380952380952,0.8833333333333333,0.9168591224018476,397,49,371,23,95.0,0.1130952380952381
0.385,0.8901345291479821,0.9452380952380952,0.8833333333333333,0.9168591224018476,397,49,371,23,95.0,0.1130952380952381
0.38,0.8901345291479821,0.9452380952380952,0.8833333333333333,0.9168591224018476,397,49,371,23,95.0,0.1130952380952381
